Node	Average_Approximated_BC
232	2.279046505900146e-16
1357	3.5303172141296007e-32
1122	2.2664411463532117e-20
3815	1.7817014924396544e-16
3672	0.87872162768594
239	5.134934047647555e-40
129	5.0695759301549016e-40
121	2.671729407300465e-20
652	1.6231658451464609e-12
1362	1.0110184795548919e-47
865	9.86940265679337e-103
24	5.441172301258199e-75
266	1.6844201247978922e-63
171	2.1867318459875284e-118
557	2.841952289562342e-267
933	6.152559334230969e-44
1938	1.692061818032066e-63
614	2.5580271562288764e-122
7033	5.040002087915755e-232
49	1.079137249532242e-55
7058	9.60931842692823e-146
1983	8.724457952572175e-142
689	7.334396582693437e-44
325	8.889409961886969e-99
230	3.7093249058761714e-126
80	5.1704184548365184e-185
27	1.4832274296335773e-251
613	0.0
2413	3.8761671162264085e-126
916	9.871773327039617e-103
