Node	Average_Approximated_BC	Total/Numssp
232	2.279046505900146e-16	0.0013456
1357	3.5303172141296007e-32	0.0014656
1122	2.2664411463532117e-20	0.0014654
3815	1.7817014924396544e-16	0.0011293999999999998
3672	0.87872162768594	0.0014654000000000002
239	5.134934047647555e-40	0.0022344
129	5.0695759301549016e-40	0.0031476000000000004
121	2.671729407300465e-20	0.0031236
652	1.6231658451464609e-12	0.0027152
1362	1.0110184795548919e-47	0.0047812
865	9.86940265679337e-103	0.005598400000000001
24	5.441172301258199e-75	0.0027392
266	1.6844201247978922e-63	0.0049014
171	2.1867318459875284e-118	0.005549999999999999
557	2.841952289562342e-267	0.011845199999999998
933	6.152559334230969e-44	0.007112
1938	1.692061818032066e-63	0.0058382
614	2.5580271562288764e-122	0.0044930000000000005
7033	5.040002087915755e-232	0.0165786
49	1.079137249532242e-55	0.007424200000000001
7058	9.60931842692823e-146	0.0089618
1983	8.724457952572175e-142	0.0065834000000000005
689	7.334396582693437e-44	0.006127
325	8.889409961886969e-99	0.008601600000000001
230	3.7093249058761714e-126	0.0104036
80	5.1704184548365184e-185	0.0160498
27	1.4832274296335773e-251	0.014344199999999998
613	0.0	0.0195098
2413	3.8761671162264085e-126	0.013623200000000002
916	9.871773327039617e-103	0.008049200000000001
