Node	Average_Approximated_BC	Total/Numssp
232	9.722689505461527e-05	0.0009128000000000001
1357	0.00011408989733185998	0.0005288
1122	3.910633428492455e-05	0.0015136
3815	1.821863760198658e-05	0.001634
3672	0.00013896865505549534	0.0015378
239	5.532981084963239e-05	0.0015616
129	2.1385792878836808e-05	0.0018499999999999999
121	3.845957145613608e-05	0.0020180000000000003
652	9.433148079142652e-05	0.0016818
1362	1.4908850884367292e-05	0.0029311999999999997
865	8.478125659604183e-06	0.0049256
24	2.2426935067535146e-05	0.00173
266	9.29228564304682e-05	0.001754
171	1.4386290154390468e-05	0.002907
557	3.2178859579989506e-05	0.005694199999999999
933	1.4478645616576785e-05	0.0030996
1938	1.0338526928671118e-05	0.0056942
614	1.1859941651610154e-05	0.0027630000000000003
7033	6.437576296329076e-06	0.007208000000000001
49	3.355010625823508e-05	0.002643
7058	3.366535524233708e-05	0.0028352
1983	1.4291341529185669e-05	0.0033876
689	7.1100471768270495e-06	0.0061988
325	1.7637049204477912e-05	0.004901399999999999
230	5.757725003482384e-06	0.0093462
80	6.934817289252229e-06	0.011677000000000002
27	6.625654789897789e-06	0.00543
613	3.558121831344346e-06	0.009923000000000001
2413	6.848980510925106e-06	0.0096828
916	1.3294825268161028e-05	0.0049016
