Node	Average_Approximated_BC
232	6.631090470133797e-05
1357	4.382445637431669e-05
1122	5.759227697834598e-05
3815	6.912544836181537e-05
3672	0.00017050312057703774
239	3.434062298044985e-05
129	2.4557118090154526e-05
121	4.823290835129137e-05
652	6.368407511875025e-05
1362	2.0036297898745e-05
865	1.351024272831497e-05
24	2.3059482856370448e-05
266	1.727531171131606e-05
171	1.1413002538103315e-05
557	5.136128436224178e-06
933	1.555666968538766e-05
1938	1.7737818869785215e-05
614	1.3893130835018811e-05
7033	4.836236814302016e-06
49	1.5067942390304258e-05
7058	8.826048571081466e-06
1983	1.4567587637419308e-05
689	1.681785373978782e-05
325	1.0629621348027283e-05
230	9.528446751496316e-06
80	7.065812677582689e-06
27	5.959964695529877e-06
613	3.892018637375461e-06
2413	9.460079457453378e-06
916	1.18553485102368e-05
