Node	Average_Approximated_BC
0	4.076784323400522e-27
7	4.2238633721679153e-60
8	2.1245746261162513e-63
5	9.010866534738365e-57
6	2.5624735283256348e-40
10	4.903787776452058e-93
18	3.429110849722541e-106
16	2.829940571741946e-73
12	8.273052859128155e-113
21	2.053759688711921e-165
3	3.6615686826064546e-139
1	7.706830397854138e-80
37	6.4407539667306015e-251
17	7.266009569653389e-136
23	1.1951416055278875e-224
20	1.155364864905278e-224
13	6.771680872489707e-126
14	6.084399679048475e-103
68	0.0
25	9.934550283415283e-192
19	7.30929809778714e-274
34	0.0
11	3.3929174469143173e-162
9	5.964902821210761e-228
24	8.362942806729204e-238
41	6.218778550188957e-182
74	1.8610358970116083e-303
30	2.19513624266248e-280
15	2.0874311029792528e-142
32	0.0
