Node	Average_Approximated_BC	Total/Numssp
0	1.1351693673129952e-10	0.003999999999999999
7	5.115858161400637e-14	0.0099
8	2.1743944821225437e-40	0.0119
5	4.107631267185357e-37	0.0108
6	2.0514098010967488e-40	0.014100000000000001
10	7.660225591380458e-146	0.028499999999999998
18	3.34204890056437e-116	0.03
16	7.098135547006211e-57	0.0317
12	8.386018137050506e-34	0.03710000000000001
21	7.080856752233959e-103	0.0249
3	9.94256487912343e-100	0.022699999999999998
1	8.201719250894524e-90	0.0284
37	1.2947125126365178e-211	0.0436
17	5.8952130896980706e-136	0.041
23	4.667637699283366e-172	0.0462
20	1.7244552351828363e-63	0.0301
13	3.7639089138832014e-218	0.0548
14	2.1333335139511842e-221	0.056600000000000004
68	3.4408237903968746e-303	0.06799999999999999
25	2.0188688692212595e-96	0.04279999999999999
19	2.0848046258131414e-221	0.046
34	3.9482885964297005e-116	0.0703
11	2.083340905371216e-96	0.0411
9	1.8209413159643804e-165	0.041100000000000005
24	0.0	0.08549999999999999
41	5.544896116789509e-159	0.05349999999999999
74	1.6348814480555544e-280	0.0926
30	0.0	0.0777
15	5.02661282865901e-103	0.039299999999999995
32	0.0	0.1196
