Node	Average_Approximated_BC
0	0.0002301320738317014
7	0.00010545101622009259
8	9.141942110066204e-05
5	0.00010934847200202099
6	0.00010281185435203886
10	6.121474571425234e-05
18	5.0027196588038505e-05
16	5.5538492468392796e-05
12	5.5810329654201685e-05
21	3.498940120307807e-05
3	4.917493072577702e-05
1	7.061287160911441e-05
37	2.3737730528515206e-05
17	3.7512447731078635e-05
23	2.5598620508082177e-05
20	3.0276872061024575e-05
13	3.1154171960194856e-05
14	2.7884121142738032e-05
68	1.3266256131517229e-05
25	2.601759133164597e-05
19	2.1599822634041213e-05
34	1.6763453062667402e-05
11	2.46909944472379e-05
9	2.543345567727516e-05
24	2.368260612177461e-05
41	1.8023251753018866e-05
74	1.5643660870373392e-05
30	1.9686055646177632e-05
15	2.5532659811863318e-05
32	1.5182051814485585e-05
