Node	Average_Approximated_BC
111	4.5524184518582686e-24
781	0.0
1414	0.0
1426	2.4436087251010834e-251
1709	0.0
190	2.5358454715652286e-172
281	2.118662349501103e-195
820	3.775158522794443e-70
1308	1.9462168995422726e-50
1280	0.0
1489	6.208155381522707e-202
1133	0.0
1857	0.0
1620	6.5707775667782525e-258
315	8.818761806828619e-304
1762	0.0
93	1.7868289357018178e-195
305	5.7050254e-317
1216	0.0
1577	3.920275538146787e-307
184	2.75258679064279e-297
1375	0.0
19	0.0
1325	0.0
974	0.0
913	0.0
931	1.3552073172249878e-162
678	2.4274828069749e-60
1736	0.0
233	0.0
