Node	Average_Approximated_BC
111	1.0644258859209031e-05
781	5.949131835511572e-06
1414	1.3668761611067417e-05
1426	1.3499332824396533e-05
1709	9.607029614642303e-06
190	1.2252443583316577e-05
281	8.598583813165922e-06
820	7.90662075794111e-06
1308	6.961678574471307e-06
1280	5.913622853331272e-06
1489	6.4354895514093045e-06
1133	8.528168471899407e-06
1857	6.516122484874625e-06
1620	6.707163439973615e-06
315	9.217174822210141e-06
1762	3.2779338439175786e-06
93	1.2842008961228601e-05
305	1.2807329812941163e-05
1216	2.1487119587349652e-05
1577	6.188737755030612e-06
184	9.796530613546693e-06
1375	4.285944878870593e-06
19	1.0465469886175395e-05
1325	8.237622825135144e-06
974	7.732054997440653e-06
913	8.840993161203153e-06
931	6.308495961902742e-06
678	5.268374948275696e-06
1736	4.267289693637734e-06
233	5.17666741770094e-06
