Node	Average_Approximated_BC	Total/Numssp
111	1.0928053289216462e-05	0.1092
781	5.592323913208653e-06	0.2062
1414	8.278440749945663e-06	0.1606
1426	5.277081280616394e-06	0.20800000000000002
1709	8.213850131396925e-06	0.1623
190	8.321527389104343e-06	0.1446
281	8.218626670331894e-06	0.14210000000000003
820	5.117894964320017e-06	0.2145
1308	6.0880642411748865e-06	0.21199999999999997
1280	6.795411482737959e-06	0.1887
1489	8.042166773177162e-06	0.1342
1133	9.301369194017685e-06	0.1669
1857	5.887399817688331e-06	0.1837
1620	5.6320308151749e-06	0.21600000000000003
315	6.970944533417842e-06	0.17539999999999997
1762	7.93167884864994e-06	0.2133
93	7.995034230578222e-06	0.15809999999999996
305	7.802754876827675e-06	0.16949999999999998
1216	4.077382388744987e-06	0.2672
1577	6.213212920247596e-06	0.2184
184	1.481689882563601e-05	0.11209999999999998
1375	7.620637248917429e-06	0.1638
19	9.371711010768618e-06	0.1348
1325	4.054636734913958e-06	0.2556
974	8.200585469179349e-06	0.1776
913	5.670644610211462e-06	0.23569999999999997
931	9.017004293759137e-06	0.19549999999999998
678	6.584856481098149e-06	0.19669999999999999
1736	5.318786838744094e-06	0.2386
233	7.4447426768086965e-06	0.1599
