Node	BetweennessCentrality
249	0.038651672002522626
4	0.0418148792872001
251	0.003513161595116042
252	0.003513161595116042
253	0.003513161595116042
254	0.003513161595116042
782	0.005405043973793085
1495	0.005011569223004008
1907	0.026698684146120952
2180	0.0012265463596272072
2238	0.23006833307576066
2240	0.007243118533218717
2241	0.007243118533218717
2242	0.007243118533218717
2243	0.007243118533218717
3911	0.009112103696041643
5114	0.0026084533301586623
5707	0.09021477515017058
6169	0.0027007926703461874
7149	0.002334247830458275
7152	0.01362901282951293
7518	0.0007134659375504618
7521	0.0006571952715589405
7527	3.225962078614251e-09
7745	0.0034293265053775925
7983	0.015357149318091788
8018	0.0010613916771336938
8022	0.0
8030	0.0031872130852122708
8031	0.0028387085452907736
8035	0.00016316567716711955
8857	0.004777511497146791
8864	0.002656887944507411
5	5.7922310012443056e-05
6	2.0185305303791973e-05
7	2.0342844275127538e-05
8	2.0186803583957375e-05
10	4.374126050009839e-05
15	4.414153274040199e-05
17	4.3305260971966727e-05
18	2.0270482531195015e-05
19	2.0185305303791973e-05
22	0.00042141724219731515
25	4.3305260971966727e-05
26	2.0185305303791973e-05
28	4.3305260971966727e-05
29	7.240808959278676e-05
30	7.240808959278676e-05
31	2.0185305303791973e-05
32	7.145930283387181e-05
33	2.0270482531195015e-05
34	7.145930283387181e-05
35	2.0204708031933916e-05
37	2.0185305303791973e-05
39	6.485103074015072e-05
40	0.03280331064890875
41	2.0218432377509358e-05
43	0.020972269660841047
44	0.0012361052409939897
45	5.512396354370889e-05
46	2.0218432377509358e-05
48	4.3335561012811664e-05
49	5.078578497377363e-05
50	5.078578497377363e-05
53	4.3305260971966727e-05
54	2.029552786854892e-05
57	2.0214072282967673e-05
58	2.0316945121615322e-05
42	0.00015303539637274462
55	9.231972095628837e-05
56	9.224470655820252e-05
9	5.7922310012443056e-05
11	2.1814433676234004e-06
12	2.1814433676234004e-06
13	2.1814433676234004e-06
14	2.1814433676234004e-06
16	5.7922310012443056e-05
20	0.0
21	0.0
23	0.0
24	4.154277471764371e-08
27	5.7922310012443056e-05
36	8.109623764589786e-05
38	5.7922310012443056e-05
47	5.7922310012443056e-05
51	5.430545272575452e-08
52	5.7922310012443056e-05
61	2.2474202481012615e-08
60	0.0
62	0.0
65	2.030137812697313e-06
64	5.578645668331408e-06
66	4.3195431971154216e-06
67	1.3566509476610892e-06
68	1.3566509476610892e-06
69	1.3566509476610892e-06
70	1.3566509476610892e-06
71	1.3566509476610892e-06
72	1.3566509476610892e-06
105	4.516858468087814e-05
246	0.00018428033847584934
73	1.9802966518411585e-06
83	4.746096026839781e-06
117	6.296094310355842e-06
74	4.447316059293556e-07
75	4.447316059293556e-07
76	1.190804653507812e-06
77	1.190804653507812e-06
78	1.190804653507812e-06
79	1.190804653507812e-06
80	1.190804653507812e-06
81	1.190804653507812e-06
82	3.309310340144771e-06
226	1.0391503676476304e-06
233	1.0801146041275842e-05
235	1.0391503676476304e-06
237	4.038218530512469e-06
84	1.0795743190411841e-06
85	4.589390133664585e-06
86	1.5011726660715534e-06
87	1.5011726660715534e-06
88	1.5011726660715534e-06
89	1.5011726660715534e-06
90	2.9386215551852347e-06
91	1.8561865306709208e-06
92	1.79892860143069e-05
93	3.8511831864078255e-06
94	5.9240485765939255e-06
95	1.7845179068428e-06
96	1.7845179068428e-06
97	1.7845179068428e-06
98	1.7845179068428e-06
99	1.7845179068428e-06
100	1.7845179068428e-06
101	1.7845179068428e-06
102	1.7845179068428e-06
103	1.7845179068428e-06
104	1.7845179068428e-06
63	0.0
106	1.8346446015275635e-06
107	7.242268081231977e-07
108	7.242268081231977e-07
109	7.242268081231977e-07
110	7.242268081231977e-07
111	1.4399986035473032e-06
112	1.423366157130799e-07
113	8.15813550060758e-06
114	0.0
115	0.0
248	2.063975885254616e-07
116	2.0937088723157095e-06
118	1.233457808299292e-05
119	2.7125643448499725e-06
120	9.521639740006335e-07
121	9.521639740006335e-07
122	9.521639740006335e-07
124	0.0
123	0.0
125	8.135661298126567e-06
126	0.0
127	2.1768095466271037e-07
146	2.2343189405780362e-05
128	0.0
129	0.0
130	0.0
131	0.0
132	0.0
150	0.00019662556302450088
133	1.1428131961594915e-05
134	6.138701630136126e-05
135	1.0811820178173296e-05
136	4.2003890658251176e-05
137	1.3480954154880404e-05
138	2.938826601761574e-05
139	1.3972211682445543e-05
140	0.0
141	2.0721830052561563e-05
145	2.624598079008585e-05
220	4.3074190936149264e-05
142	0.0
143	1.1081030389943722e-06
144	7.019895626286293e-05
147	2.672023379820969e-05
219	3.725055841607687e-05
212	4.694101467815085e-06
213	8.632616269269368e-06
214	2.158486824091256e-05
148	1.188234272840364e-06
149	7.19174479392404e-07
240	1.1612124248487562e-05
157	1.220349194718985e-05
151	0.0
152	1.2618907959715865e-06
217	4.14430714950581e-05
153	2.1296982351054808e-07
154	2.1296982351054808e-07
218	2.578088210912647e-05
155	0.0
156	0.0
158	0.0
159	1.264441439586495e-06
160	8.371640424177199e-07
161	0.0
162	0.0
163	0.0
164	0.0
165	0.0
166	0.0
167	0.0
168	0.0
169	0.0
170	0.0
171	0.0
172	0.0
173	0.0
174	0.0
175	0.0
176	0.0
177	0.0
178	0.0
179	0.0
180	0.0
181	0.0
182	0.0
183	0.0
184	0.0
185	0.0
186	0.0
187	0.0
188	0.0
189	0.0
190	0.0
191	0.0
192	0.0
193	0.0
194	0.0
195	0.0
196	0.0
197	0.0
198	1.1330565384157512e-06
199	0.0
200	0.0
201	0.0
202	0.0
203	0.0
204	0.0
205	0.0
206	0.0
207	4.0453564465822705e-07
208	0.0
209	0.0
210	0.0
211	0.0
221	0.0
222	6.203401609374293e-06
223	0.0
224	4.002229519551024e-07
225	1.9689313821761567e-07
227	2.3084670005295478e-06
228	2.3084670005295478e-06
229	2.3084670005295478e-06
230	2.3084670005295478e-06
231	2.3084670005295478e-06
232	2.3084670005295478e-06
234	1.9855337983481753e-06
236	5.294604481711467e-06
238	0.0
239	1.356611509001036e-05
241	0.0
242	9.250948270503063e-06
243	0.0
244	0.0
245	1.3402493325050638e-06
247	0.0
284	0.004439636253289049
306	9.908531753050945e-06
308	0.0
310	0.0
316	0.008986862583250764
408	0.0029169357134902025
416	0.003781064515187059
443	0.0032815519163225076
451	0.004230970139883055
483	0.004160001160763746
491	0.004097705952330829
584	0.000854815263976006
605	0.0006020136434224701
632	0.0008025022580551703
716	0.0
718	0.0011847950839304249
722	0.0010081712335279563
733	0.001281140859551127
735	0.0012635292556912032
747	0.00022069223246219113
751	0.00021662409839988072
759	0.00015218243830482028
761	0.00017049508400371593
769	0.0005806362561260081
781	0.0011400057278841249
846	0.0241254421662793
848	0.001982656797305753
1033	0.026014668932672746
1036	0.008029206991653146
1107	0.00011523341490596137
1109	0.0
1111	3.212251066628141e-05
1113	5.33221616328404e-05
1115	6.568800231546279e-05
1117	0.0004325571433011272
1121	0.0010881239987683116
1124	0.00012536843230016344
1126	0.00012149707710640571
1128	0.000262846424579462
1130	1.0210397637871832e-05
1131	0.00027210524896445026
1133	0.00016270778737099935
1135	0.0012988146160684572
1243	3.4485346268887295e-05
1301	0.0014584239577367147
1371	0.00028829475394174874
1373	0.00028829475394174874
1701	0.0015221343898929435
1779	0.00028311199012211516
2053	2.693506419587652e-05
2054	2.693506419587652e-05
2055	0.0003474296191468894
2056	0.0003085314611586203
2065	0.0016313234309103905
2070	0.0005545382655610071
2071	0.0002647715855112057
2072	0.004201156113991667
2098	0.00046466515823394587
255	0.0
256	0.002182008197299754
257	1.1397821515477254e-05
258	7.719198808271102e-06
259	1.0562323774998549e-06
260	1.0562323774998549e-06
261	0.0
262	0.0
268	0.01594664708207855
297	0.00020916180800535322
302	0.0
304	3.965567747102388e-05
610	2.6071609732098173e-05
611	2.6071609732098173e-05
612	2.6071609732098173e-05
616	2.6071609732098173e-05
617	2.6071609732098173e-05
618	2.6071609732098173e-05
620	2.6071609732098173e-05
626	2.6071609732098173e-05
642	0.0032921354520813162
646	0.0
650	0.0
651	0.0
655	0.0
656	0.0
658	0.0
764	0.00022313146959993473
768	0.0004473290648099574
804	0.0007680757211850225
876	8.20906024197355e-10
