Total Nodes: 2000
Calculation Time (seconds): 10.66283130645752

Node	Degree	True_BC	Approximated_BC	ErrorPercentage	NumSSP	NumSSP/TotalNodes
0	176	0.14496991836509301	6818000.0	4703044557.050514	2	0.001000
1	61	0.029978515477085427	230800.0	769884586.839866	35	0.017500
2	30	0.009787688212054689	120050.0	1226540809.345113	120	0.060000
3	59	0.030586144762059182	814000.0	2661335633.327636	13	0.006500
4	28	0.00708794511185237	157820.89552238805	2226609912.237284	67	0.033500
5	120	0.07057629760596569	1674333.3333333333	2372373331.490128	6	0.003000
6	92	0.0548715409917757	383809.5238095238	699469090.899979	21	0.010500
7	111	0.07313071048055306	1414857.142857143	1934696190.463884	7	0.003500
8	118	0.07219555556822452	652857.1428571428	904289835.465896	14	0.007000
9	44	0.015116405399248958	169000.0	1117990556.749630	54	0.027000
10	93	0.04845846203859426	750615.3846153846	1548987121.298036	13	0.006500
11	41	0.01517518736100202	334074.0740740741	2201449319.547826	27	0.013500
12	77	0.03924140218659202	834333.3333333334	2126155661.117037	12	0.006000
13	47	0.020262832442133585	389037.037037037	1919953776.873065	27	0.013500
14	50	0.01954324245923374	149444.44444444444	764685927.695651	54	0.027000
15	41	0.01268721574189555	62279.06976744186	490880413.379975	129	0.064500
16	82	0.039960993805027364	293368.4210526316	734136849.856647	38	0.019000
17	57	0.024855464682468346	435000.0	1750118055.331953	28	0.014000
18	80	0.040994836135135417	308333.3333333333	752127149.190466	30	0.015000
19	47	0.016514526148136786	68796.99248120301	416584619.804176	133	0.066500
20	49	0.020459090337436394	430928.5714285714	2106293798.316930	28	0.014000
21	78	0.03692696095253837	462560.0	1252634798.914430	25	0.012500
22	29	0.008368370587743085	88390.625	1056246442.540351	128	0.064000
23	55	0.021865005867370717	190253.96825396825	870129866.614303	63	0.031500
24	44	0.014431438805519878	51885.35031847134	359529888.781338	157	0.078500
25	50	0.01730954445189563	57140.84507042253	330111678.673441	142	0.071000
26	17	0.004239854962725824	228571.42857142858	5391019889.619618	35	0.017500
27	24	0.006562062293196488	35571.072319201994	542071442.906289	401	0.200500
28	14	0.002079406921118448	231942.85714285713	11154279266.258064	35	0.017500
29	36	0.01138625396719398	138048.78048780488	1212416036.909912	82	0.041000
30	38	0.013182947430629253	169586.2068965517	1286405749.594266	58	0.029000
31	17	0.004005375635138329	26636.06557377049	665007829.346197	305	0.152500
32	41	0.011957260401836792	83448.8188976378	697892361.092668	127	0.063500
33	19	0.002997948357755506	38883.49514563107	1297003400.578717	206	0.103000
34	44	0.016274954864881515	87662.79069767441	538636052.453088	172	0.086000
35	24	0.005994482593917552	151056.6037735849	2519927206.601210	53	0.026500
36	19	0.004347023850750358	69167.78523489933	1591152550.863878	149	0.074500
37	60	0.02491074043283684	78917.43119266054	316800724.951125	109	0.054500
38	37	0.010770465598205721	130804.87804878049	1214477369.484435	82	0.041000
39	17	0.004295734994940385	32356.940509915014	753233992.606405	353	0.176500
40	17	0.004494687689874435	100346.9387755102	2232567448.610113	98	0.049000
41	41	0.013631429255806347	48011.36363636364	352210682.416034	176	0.088000
42	30	0.009431707914219968	75730.99415204678	802940309.529317	171	0.085500
43	10	0.0016400384237587706	29433.823529411766	1794703188.838379	272	0.136000
44	11	0.00142197983340647	4839.1777509068925	340312584.977694	1654	0.827000
45	24	0.005601520420173431	38682.35294117647	690568710.601226	340	0.170000
46	27	0.005754901988180617	19498.783454987835	338820326.395346	411	0.205500
47	11	0.002177065019296853	27752.21238938053	1274753393.505854	339	0.169500
48	16	0.002757602110072292	9032.694475760993	327556019.962651	887	0.443500
49	11	0.0018904087397653578	50860.0	2690423348.122276	200	0.100000
50	33	0.01077933259216439	64949.640287769784	602538505.543931	139	0.069500
51	13	0.002197876151012067	6069.69696969697	276161819.628730	1320	0.660000
52	22	0.003981062762754193	27000.0	678210759.989576	368	0.184000
53	25	0.006659143467838132	52121.21212121212	782701344.606856	264	0.132000
54	26	0.005424478693712392	61295.59748427673	1129981248.351972	159	0.079500
55	30	0.008457074663835528	59183.67346938775	699812492.674288	147	0.073500
56	29	0.007362430915791451	38028.43601895735	516520006.659219	211	0.105500
57	25	0.004925613706284647	118225.35211267606	2400215571.842699	71	0.035500
58	25	0.005375275088702116	18523.14814814815	344598973.395900	432	0.216000
59	24	0.007980070823463475	94201.6806722689	1180461612.135331	119	0.059500
60	20	0.0035039923293420203	64333.333333333336	1836000875.076730	162	0.081000
61	24	0.004691176913034369	35348.01762114537	753499891.077536	227	0.113500
62	28	0.007382203266553408	133880.0	1813550613.329324	100	0.050000
63	11	0.0011712548885961253	8668.13833701251	740072656.272736	1359	0.679500
64	10	0.0020209204035212657	69792.20779220779	3453486126.899454	154	0.077000
65	15	0.002992853340530007	15205.825242718447	508071078.657409	1030	0.515000
66	24	0.004245696621264407	88392.1568627451	2081923427.461581	102	0.051000
67	20	0.00513716348531344	110808.0808080808	2156989474.594392	99	0.049500
68	54	0.017737277655092237	186612.90322580645	1052094290.438948	62	0.031000
69	13	0.0019802464242070564	36265.11627906977	1831343506.318658	430	0.215000
70	16	0.002821599093353362	26907.0796460177	953610911.195771	452	0.226000
71	22	0.005742969638344772	46138.61386138614	803392861.601729	202	0.101000
72	21	0.005226320784818262	181733.33333333334	3477270829.508259	45	0.022500
73	31	0.0075242206679349095	65395.348837209305	869131092.761225	129	0.064500
74	41	0.013514448970945139	234000.0	1731480040.278595	37	0.018500
75	17	0.0037209635694552103	158313.72549019608	4254643153.961632	51	0.025500
76	20	0.00392615225301014	88666.66666666667	2258360273.026463	105	0.052500
77	19	0.003665667669692504	66950.0	1826406602.209754	120	0.060000
78	28	0.0055053823524309755	17133.333333333332	311210497.857347	480	0.240000
79	19	0.0037850135405427705	158153.84615384616	4178422102.716002	52	0.026000
80	18	0.003990599620120172	42813.08411214953	1072848298.428411	214	0.107000
81	19	0.003899592462018176	38761.11111111111	993978411.566075	360	0.180000
82	28	0.006550230272293544	289611.1111111111	4421388142.427463	36	0.018000
83	17	0.003058009798204584	16307.086614173228	533258054.494712	508	0.254000
84	26	0.007808007034113979	213750.0	2737574278.021235	40	0.020000
85	25	0.005713572674346991	17286.012526096034	302542871.120459	479	0.239500
86	19	0.003026039858772196	53435.58282208589	1765858425.200232	163	0.081500
87	11	0.0013637751703363785	15594.541910331383	1143483243.114756	513	0.256500
88	15	0.00300363499722512	51513.51351351351	1715038963.038744	222	0.111000
89	20	0.004302252003951021	277125.0	6441393843.113958	32	0.016000
90	19	0.004202572634098591	70796.46017699115	1684598034.070710	113	0.056500
91	13	0.002148313895078629	16805.555555555555	782267127.989998	720	0.360000
92	17	0.0024813993171517645	25914.691943127964	1044357886.399131	422	0.211000
93	21	0.004646891421336167	39216.71018276762	843934191.270599	383	0.191500
94	20	0.004959682652112825	49128.83435582822	990563970.362432	163	0.081500
95	12	0.0017733032666082242	18467.532467532466	1041419764.006403	462	0.231000
96	11	0.0013345170751474327	22203.23325635104	1663765292.728160	433	0.216500
97	10	0.0010379306503552697	25127.049180327867	2420879288.399140	488	0.244000
98	16	0.0025910805752152105	29143.695014662757	1124769823.924196	341	0.170500
99	16	0.002628824872108027	39372.03166226913	1497704523.841949	379	0.189500
100	9	0.0013973403891563063	24301.136363636364	1739099159.723612	352	0.176000
101	17	0.0030413123057769216	29679.19799498747	975868045.425655	399	0.199500
102	12	0.0013942433322045313	14928.87029288703	1070750603.844643	717	0.358500
103	15	0.0021023667406868023	48831.57894736842	2322695460.310096	190	0.095000
104	26	0.006632314107902233	44150.72463768116	665690998.451997	345	0.172500
105	14	0.002674470466248459	17300.215982721384	646864997.261246	463	0.231500
106	18	0.0023631899868452964	231695.65217391305	9804359831.433678	46	0.023000
107	13	0.0024142412689016524	21256.673511293633	880470041.286428	487	0.243500
108	17	0.003453419650230218	15001.788908765653	434403778.710934	559	0.279500
109	8	0.000837644748521906	11656.826568265682	1391619269.528087	1084	0.542000
110	13	0.0019510403229403028	39333.333333333336	2016018373.367905	228	0.114000
