Total Nodes: 2000
Calculation Time (seconds): 10.66283130645752

Node	Degree	True_BC	Approximated_BC	ErrorPercentage	NumSSP	NumSSP/TotalNodes
0	176	0.14496991836509301	0.0008535298680371217	99.411237	2	0.001000
1	61	0.029978515477085427	2.8893325541649704e-05	99.903620	35	0.017500
2	30	0.009787688212054689	1.5028785664103322e-05	99.846452	120	0.060000
3	59	0.030586144762059182	0.00010190280325347858	99.666833	13	0.006500
4	28	0.00708794511185237	1.9757237918557384e-05	99.721256	67	0.033500
5	120	0.07057629760596569	0.0002096059708199111	99.703008	6	0.003000
6	92	0.0548715409917757	4.80482388102865e-05	99.912435	21	0.010500
7	111	0.07313071048055306	0.00017712273840337871	99.757800	7	0.003500
8	118	0.07219555556822452	8.172969653710024e-05	99.886794	14	0.007000
9	44	0.015116405399248958	2.1156724508400345e-05	99.860041	54	0.027000
10	93	0.04845846203859426	9.39678278347613e-05	99.806086	13	0.006500
11	41	0.01517518736100202	4.1821971305231454e-05	99.724406	27	0.013500
12	77	0.03924140218659202	0.00010444828687283248	99.733831	12	0.006000
13	47	0.020262832442133585	4.87026592672008e-05	99.759645	27	0.013500
14	50	0.01954324245923374	1.8708609114923384e-05	99.904271	54	0.027000
15	41	0.01268721574189555	7.796574684669896e-06	99.938548	129	0.064500
16	82	0.039960993805027364	3.6726123453697765e-05	99.908095	38	0.019000
17	57	0.024855464682468346	5.445665775830858e-05	99.780907	28	0.014000
18	80	0.040994836135135417	3.859954668692371e-05	99.905843	30	0.015000
19	47	0.016514526148136786	8.61253856172368e-06	99.947849	133	0.066500
20	49	0.020459090337436394	5.394696490244264e-05	99.736318	28	0.014000
21	78	0.03692696095253837	5.790683129352464e-05	99.843185	25	0.012500
22	29	0.008368370587743085	1.1065420723374701e-05	99.867771	128	0.064000
23	55	0.021865005867370717	2.3817460313486105e-05	99.891070	63	0.031500
24	44	0.014431438805519878	6.49540865508722e-06	99.954991	157	0.078500
25	50	0.01730954445189563	7.153332055219618e-06	99.958674	142	0.071000
26	17	0.004239854962725824	2.8614335767912556e-05	99.325111	35	0.017500
27	24	0.006562062293196488	4.453061405477763e-06	99.932139	401	0.200500
28	14	0.002079406921118448	2.9036397220489267e-05	98.603621	35	0.017500
29	36	0.01138625396719398	1.7282011937876457e-05	99.848220	82	0.041000
30	38	0.013182947430629253	2.123011041263271e-05	99.838958	58	0.029000
31	17	0.004005375635138329	3.334508291905023e-06	99.916749	305	0.152500
32	41	0.011957260401836792	1.0446767289755713e-05	99.912632	127	0.063500
33	19	0.002997948357755506	4.867736063430998e-06	99.837631	206	0.103000
34	44	0.016274954864881515	1.09743048072678e-05	99.932569	172	0.086000
35	24	0.005994482593917552	1.8910431663978247e-05	99.684536	53	0.026500
36	19	0.004347023850750358	8.658957260774948e-06	99.800807	149	0.074500
37	60	0.02491074043283684	9.879493199134671e-06	99.960340	109	0.054500
38	37	0.010770465598205721	1.6375164314987884e-05	99.847962	82	0.041000
39	17	0.004295734994940385	4.050691575757225e-06	99.905704	353	0.176500
40	17	0.004494687689874435	1.2562204372395181e-05	99.720510	98	0.049000
41	41	0.013631429255806347	6.0104330989773715e-06	99.955908	176	0.088000
42	30	0.009431707914219968	9.480590414332139e-06	99.899482	171	0.085500
43	10	0.0016400384237587706	3.6847532286428205e-06	99.775325	272	0.136000
44	11	0.00142197983340647	6.058056243971451e-07	99.957397	1654	0.827000
45	24	0.005601520420173431	4.84255552966379e-06	99.913549	340	0.170000
46	27	0.005754901988180617	2.441008223704925e-06	99.957584	411	0.205500
47	11	0.002177065019296853	3.4742361658031883e-06	99.840417	339	0.169500
48	16	0.002757602110072292	1.1307824177054733e-06	99.958994	887	0.443500
49	11	0.0018904087397653578	6.367047387557643e-06	99.663192	200	0.100000
50	33	0.01077933259216439	8.13089731649731e-06	99.924570	139	0.069500
51	13	0.002197876151012067	7.598515185642082e-07	99.965428	1320	0.660000
52	22	0.003981062762754193	3.3800684125846707e-06	99.915096	368	0.184000
53	25	0.006659143467838132	6.524935656167939e-06	99.902015	264	0.132000
