Total Nodes: 2000
Calculation Time (seconds): 2.386371612548828

Node	Degree	True_BC	Approximated_BC	ErrorPercentage	NumSSP	NumSSP/TotalNodes
0	6	0.0006317709760146523	2.192338506480979e-06	99.652985	1370	0.685000
1	7	0.0008963997392934761	1.7926337064166848e-05	98.000185	92	0.046000
2	7	0.0009356823368350402	9.057256054248527e-07	99.903202	1660	0.830000
3	6	0.0007257808425323465	1.5247222184023918e-06	99.789920	1092	0.546000
4	5	0.00048224332566286916	6.7285881774895715e-06	98.604732	373	0.186500
5	7	0.00098176267725434	1.4312337592315431e-06	99.854218	1107	0.553500
6	6	0.0006980325943580802	2.2657756250734284e-06	99.675405	1333	0.666500
7	6	0.0007431831954104539	2.5326667814578438e-06	99.659214	840	0.420000
8	8	0.0012834113451052382	3.4266958925676545e-06	99.733001	443	0.221500
9	7	0.000968012550090975	6.7833571278842306e-06	99.299249	248	0.124000
10	9	0.0021053549188082116	4.551852384370794e-06	99.783796	372	0.186000
11	6	0.0005811788631501166	5.6374427070413365e-06	99.029999	376	0.188000
12	5	0.00041341672401286117	2.556722694569396e-06	99.381563	1125	0.562500
13	14	0.0034919921765610884	4.420421525525802e-06	99.873413	348	0.174000
14	8	0.0014353073876351907	1.9338642965177043e-06	99.865265	985	0.492500
15	6	0.0007259065810685466	8.910115881005456e-07	99.877255	1695	0.847500
16	11	0.0023985598800661924	1.778192715766766e-05	99.258642	95	0.047500
17	8	0.0012618758742834954	2.928911133013184e-06	99.767892	520	0.260000
18	7	0.0010347353044750358	1.6617838803267801e-06	99.839400	904	0.452000
19	15	0.004564704798354931	8.039981484150377e-06	99.823866	188	0.094000
20	3	0.0001721133946051762	4.862483370645015e-07	99.717484	3332	1.666000
21	9	0.0018260536820970165	2.6257966786019757e-06	99.856204	597	0.298500
22	4	0.0002864638055193333	8.817355482814196e-06	96.922000	254	0.127000
23	8	0.0012598355807262457	3.3257962800768886e-06	99.736013	519	0.259500
24	9	0.001293064090397896	7.485070016335649e-06	99.421137	325	0.162500
25	12	0.002933724639090939	2.6129248147664763e-06	99.910935	594	0.297000
26	7	0.0009544264587597231	1.615650180673433e-06	99.830720	945	0.472500
27	2	6.678394425686565e-05	1.973382230004496e-06	97.045125	1158	0.579000
28	10	0.0019439995693956314	2.4269940126744933e-06	99.875155	623	0.311500
29	4	0.00030738461941231783	6.957947254062162e-07	99.773640	2172	1.086000
30	6	0.0007106239492624151	1.3463301993794785e-06	99.810543	1169	0.584500
31	4	0.00026390378328985725	2.046742366855209e-06	99.224436	1059	0.529500
32	10	0.0020098409847828036	3.7428282800969146e-06	99.813775	528	0.264000
33	8	0.0014094800961376708	2.7296808598852024e-06	99.806334	553	0.276500
34	5	0.000539292543617971	9.25335761038402e-07	99.828417	2163	1.081500
35	4	0.0003883868662917521	4.3560894782965994e-06	98.878415	565	0.282500
36	6	0.0006093330471055514	1.906533126462853e-06	99.687111	1007	0.503500
37	4	0.0002819758414819499	2.090051595090853e-06	99.258783	1116	0.558000
38	14	0.003768032008322227	2.3417467433593144e-05	99.378523	85	0.042500
39	7	0.0009769413679629312	3.50747745991629e-06	99.640974	789	0.394500
40	9	0.0014449836728759131	2.3728241047910057e-06	99.835789	654	0.327000
41	6	0.0007832135042508319	2.186685047766243e-06	99.720806	687	0.343500
42	6	0.0007586744447989855	7.851376064218118e-07	99.896512	1914	0.957000
43	6	0.0007957675044336202	2.968079397598505e-06	99.627017	598	0.299000
44	9	0.0016576239000270212	2.5208633679535796e-06	99.847923	600	0.300000
45	4	0.0002374356490719707	1.7411337842012261e-06	99.266692	1503	0.751500
46	6	0.0006480547063851058	8.146706224595494e-07	99.874290	1844	0.922000
47	7	0.0010215707662387698	1.471719037819161e-06	99.855936	1025	0.512500
48	5	0.0004369903755241408	7.167483392642604e-06	98.359807	386	0.193000
49	5	0.0004719599847481307	8.325913582151043e-07	99.823589	1884	0.942000
50	7	0.0009185017712665518	2.770231132000441e-06	99.698397	622	0.311000
51	8	0.0012671925847629385	2.8890543592338935e-06	99.772011	540	0.270000
52	6	0.0007035818312957296	1.7535303196151638e-06	99.750771	1665	0.832500
53	10	0.002019012726739219	9.597725122154004e-06	99.524633	231	0.115500
54	9	0.0018096884821572862	4.524179633603132e-06	99.750002	503	0.251500
55	6	0.0005957993705294598	2.069971912529084e-06	99.652572	1159	0.579500
56	5	0.0004635367704390093	8.530943028254078e-07	99.815960	1763	0.881500
57	8	0.0012891805780809594	3.4637191925513504e-06	99.731324	434	0.217000
58	6	0.0008220729480551829	6.5081249464290655e-06	99.208328	306	0.153000
59	15	0.0042418305045089175	1.5272901716123328e-05	99.639945	117	0.058500
60	10	0.0020369519853258586	3.6159844787562903e-06	99.822481	658	0.329000
61	4	0.0003006853942657778	6.301831345789071e-07	99.790418	2389	1.194500
62	3	0.00011007078984318728	6.098689498360349e-07	99.445930	4830	2.415000
63	11	0.0023332444723794914	2.7248448333991105e-05	98.832165	112	0.056000
64	8	0.0012864786225794188	1.5276456742625932e-06	99.881254	986	0.493000
65	9	0.0015761663574089908	7.077868698896604e-06	99.550944	368	0.184000
66	11	0.0024924830862434865	8.149559319994323e-06	99.673035	233	0.116500
67	6	0.0007059215201266392	4.118873100608063e-06	99.416525	508	0.254000
68	8	0.0014157570370008927	2.9394611027064264e-06	99.792375	562	0.281000
69	3	0.00016327854176593977	2.2749222637729324e-06	98.606723	953	0.476500
70	5	0.00045982267210404796	1.2081918920755004e-06	99.737248	2304	1.152000
71	6	0.0007427878911996725	1.7926762697252207e-06	99.758656	844	0.422000
72	4	0.00036118858421749727	1.660132681057156e-06	99.540370	1884	0.942000
73	8	0.0014974762148835044	2.5268207935756114e-06	99.831261	597	0.298500
74	4	0.0002779700943041908	1.494374231403539e-06	99.462397	1589	0.794500
75	13	0.0028815027523077905	7.363983469683379e-06	99.744439	204	0.102000
76	8	0.0014089487188688975	1.4461339951671325e-06	99.897361	1044	0.522000
77	12	0.003153336082386999	4.736979261393171e-06	99.849779	323	0.161500
78	4	0.00023880333065398488	5.866354738465213e-06	97.543437	344	0.172000
79	5	0.0004551441205564479	9.271436766005969e-07	99.796297	1825	0.912500
80	10	0.0020468245934441775	1.5515068123339472e-06	99.924199	976	0.488000
81	9	0.0013950592182907368	0.00014396587683231004	89.680304	11	0.005500
82	9	0.001659380290975841	4.143888586109697e-06	99.750275	572	0.286000
83	6	0.0007295180485075	1.6327299687289541e-06	99.776191	923	0.461500
84	8	0.0011273697562443248	1.227246760582534e-06	99.891141	1230	0.615000
85	8	0.001255981027897755	4.604997837308816e-06	99.633355	367	0.183500
86	10	0.0018739595554051866	4.92854938945909e-06	99.736998	371	0.185500
87	6	0.000725602923650216	1.025800179989821e-05	98.586279	271	0.135500
88	7	0.0010566132899485772	1.6980829384906024e-06	99.839290	941	0.470500
89	13	0.0038334391614463573	7.01558744093525e-06	99.816990	296	0.148000
90	11	0.0023012998486515762	6.09301805952763e-06	99.735236	304	0.152000
91	5	0.0004820322730547624	9.661016256859165e-07	99.799577	1556	0.778000
92	8	0.0014672871112357392	1.7652860757932e-06	99.879690	989	0.494500
93	16	0.004648422648255966	5.84209355261548e-06	99.874321	258	0.129000
94	8	0.0012661335313371158	3.820825173993771e-06	99.698229	626	0.313000
95	4	0.0002578976073001281	0.00012858567135705704	50.140805	14	0.007000
96	6	0.0007802528713128726	2.0980278825736986e-06	99.731109	1270	0.635000
97	7	0.0009657474210483872	2.3544987589942295e-06	99.756199	723	0.361500
98	3	0.0001636211158750254	3.6606456759443015e-06	97.762730	543	0.271500
99	10	0.001976057371746576	1.8512608140755548e-06	99.906315	825	0.412500
100	8	0.001252406004763356	2.253705376453191e-06	99.820050	767	0.383500
101	5	0.0004924595362559913	6.025538963156916e-06	98.776440	409	0.204500
