Total Nodes: 8324
Calculation Time (seconds): 3.907017230987549

Node	Degree	True_BC	Approximated_BC	ErrorPercentage	NumSSP	NumSSP/TotalNodes
8843	4	1.0058047947554895e-05	0	100.000000	0	0.000000
2	27	0.0017099524377090414	0	100.000000	0	0.000000
1	110	0.005916563259942517	0	100.000000	0	0.000000
6	134	0.013872337449963548	0	100.000000	0	0.000000
10	64	0.00479178802631387	0	100.000000	0	0.000000
9	18	0.012419494797309033	0	100.000000	0	0.000000
11	10	0.0005519927647763051	0	100.000000	0	0.000000
12	1	0.0	0	0.000000	0	0.000000
5	63	0.0035644685872867963	0	100.000000	0	0.000000
13	3	7.142397863447871e-07	0	100.000000	0	0.000000
14	2	5.650131195917325e-07	0	100.000000	0	0.000000
16	4	4.585981339307684e-06	0	100.000000	0	0.000000
17	6	4.636641146993294e-05	0	100.000000	0	0.000000
4	20	0.0008917253566669774	0	100.000000	0	0.000000
18	16	0.00020234031119708383	0	100.000000	0	0.000000
19	18	0.0014210920789118682	0	100.000000	0	0.000000
20	40	0.00212391909423958	0	100.000000	0	0.000000
21	24	0.0007037805749968234	0	100.000000	0	0.000000
22	2	0.0	0	0.000000	0	0.000000
23	29	0.0007386337667954179	0	100.000000	0	0.000000
24	238	0.03617079862123755	14639918.24	40474412404.135933	25	0.003003
27	164	0.018586197462538128	17634213.04347826	94878003208.752853	23	0.002763
25	54	0.004726996039751277	0	100.000000	0	0.000000
28	9	3.683709487348722e-05	0	100.000000	0	0.000000
30	20	0.00041673521830134597	0	100.000000	0	0.000000
31	2	0.0	0	0.000000	0	0.000000
32	2	0.0	0	0.000000	0	0.000000
33	8	2.805298184920057e-05	0	100.000000	0	0.000000
34	5	1.7367725173064262e-05	0	100.000000	0	0.000000
35	5	7.493044710990876e-05	0	100.000000	0	0.000000
36	12	5.1205366773779474e-05	0	100.000000	0	0.000000
38	2	0.0	0	0.000000	0	0.000000
39	3	2.4432926728189157e-08	0	100.000000	0	0.000000
52	14	8.191276463131268e-05	0	100.000000	0	0.000000
40	3	0.00023706396652830043	0	100.000000	0	0.000000
42	63	0.011362466465480883	0	100.000000	0	0.000000
43	6	0.0010044566175419565	0	100.000000	0	0.000000
44	11	7.458987365199688e-05	0	100.000000	0	0.000000
46	3	5.120655516542959e-06	0	100.000000	0	0.000000
47	7	1.5050075192154615e-05	0	100.000000	0	0.000000
48	3	8.398896988276126e-07	0	100.000000	0	0.000000
49	233	0.022918159333845042	6076807.0344827585	26515248991.180988	58	0.006968
50	213	0.011381221455202878	0	100.000000	0	0.000000
51	1	0.0	0	0.000000	0	0.000000
53	14	2.950930191034993e-05	0	100.000000	0	0.000000
54	3	2.071044312557796e-07	0	100.000000	0	0.000000
55	2	2.3577016275926757e-06	0	100.000000	0	0.000000
57	2	1.8807429124524207e-06	0	100.000000	0	0.000000
58	2	0.0	0	0.000000	0	0.000000
59	31	0.0009952263527550679	0	100.000000	0	0.000000
60	5	5.1167277704935816e-06	0	100.000000	0	0.000000
61	39	0.004172067862571575	0	100.000000	0	0.000000
41	13	0.0003808457323144532	0	100.000000	0	0.000000
45	60	0.007486102202157694	0	100.000000	0	0.000000
56	6	9.72618156694541e-06	0	100.000000	0	0.000000
65	9	3.2713057209469025e-05	0	100.000000	0	0.000000
85	74	0.0024879322517121663	0	100.000000	0	0.000000
86	95	0.003171288397105327	0	100.000000	0	0.000000
62	2	2.1773116202851415e-06	0	100.000000	0	0.000000
63	3	0.0	0	0.000000	0	0.000000
64	16	0.0004465963370517082	0	100.000000	0	0.000000
15	1	0.0	0	0.000000	0	0.000000
66	14	0.0001286014686993396	0	100.000000	0	0.000000
67	14	0.00020757263275169102	0	100.000000	0	0.000000
68	4	3.5125901637210707e-06	0	100.000000	0	0.000000
69	10	2.3690129761100362e-05	0	100.000000	0	0.000000
70	2	0.0	0	0.000000	0	0.000000
71	13	5.288444576683724e-05	0	100.000000	0	0.000000
