Total Nodes: 3353
Calculation Time (seconds): 9.814855575561523

Node	Degree	True_BC	Approximated_BC	ErrorPercentage	NumSSP	NumSSP/TotalNodes
2958	3	0.002980800801100231	0	100.000000	0	0.000000
2959	2	0.0005966587112171837	0	100.000000	0	0.000000
1494	3	0.0011664197463736525	0	100.000000	0	0.000000
1573	4	0.011253947050984578	0	100.000000	0	0.000000
1590	3	0.005051243889657765	0	100.000000	0	0.000000
1603	4	0.006694566551273365	0	100.000000	0	0.000000
2634	3	0.0016709050860973748	0	100.000000	0	0.000000
2635	3	0.0006602954762855281	0	100.000000	0	0.000000
1984	3	0.00896508176012948	0	100.000000	0	0.000000
1985	4	0.0158982965743907	0	100.000000	0	0.000000
1453	3	0.0005199730508336608	0	100.000000	0	0.000000
1454	3	0.0008367225495353784	0	100.000000	0	0.000000
1450	3	0.004705371825018664	0	100.000000	0	0.000000
697	3	0.0014160318035436714	0	100.000000	0	0.000000
698	2	0.0005966587112171837	0	100.000000	0	0.000000
1447	4	0.0014621980134881046	0	100.000000	0	0.000000
2036	3	0.002806754025104902	0	100.000000	0	0.000000
2034	3	0.0006512603731695615	0	100.000000	0	0.000000
564	3	0.00109744988210714	0	100.000000	0	0.000000
566	3	0.0009418530876884962	0	100.000000	0	0.000000
707	3	0.004991563865303752	0	100.000000	0	0.000000
1439	4	0.0009430609432447108	0	100.000000	0	0.000000
360	3	0.001209129366075154	0	100.000000	0	0.000000
361	2	0.0005966587112171837	0	100.000000	0	0.000000
359	3	0.0007100131927373047	0	100.000000	0	0.000000
1480	3	0.0006736933433034733	0	100.000000	0	0.000000
1481	3	0.0003156023379703151	0	100.000000	0	0.000000
2833	4	0.021521778060965484	0	100.000000	0	0.000000
2814	4	0.05402735674220871	0	100.000000	0	0.000000
1436	3	0.0006030471465810934	0	100.000000	0	0.000000
1437	3	0.0004145130311832491	0	100.000000	0	0.000000
1571	3	0.001101205247702209	0	100.000000	0	0.000000
1566	3	0.007049064140405527	0	100.000000	0	0.000000
1568	3	0.001470514699755966	0	100.000000	0	0.000000
1567	4	0.014440375140283158	0	100.000000	0	0.000000
2884	4	0.02010160538498648	0	100.000000	0	0.000000
2858	4	0.017001032140702702	0	100.000000	0	0.000000
1467	3	0.0007329299138811986	0	100.000000	0	0.000000
1470	3	0.0003350640664133065	0	100.000000	0	0.000000
1993	3	0.001043171930981623	0	100.000000	0	0.000000
1994	4	0.0006690800563488253	0	100.000000	0	0.000000
2058	3	0.0006159041379553326	0	100.000000	0	0.000000
2059	4	0.0017133563045800128	0	100.000000	0	0.000000
2434	3	0.002744232631179099	0	100.000000	0	0.000000
2436	4	0.006485433956424326	0	100.000000	0	0.000000
2440	3	0.029689375482485954	0	100.000000	0	0.000000
2492	3	0.0028394494207690164	0	100.000000	0	0.000000
1564	3	0.0006506527135991663	0	100.000000	0	0.000000
1565	3	0.007606964262817888	0	100.000000	0	0.000000
162	4	0.002984528964891862	0	100.000000	0	0.000000
163	4	0.005576094131431934	0	100.000000	0	0.000000
553	3	0.004656718925832011	0	100.000000	0	0.000000
557	3	0.0038638993561515844	0	100.000000	0	0.000000
556	3	0.0005109411513694943	0	100.000000	0	0.000000
1465	4	0.013941023995980482	0	100.000000	0	0.000000
1466	4	0.018318350981522607	0	100.000000	0	0.000000
351	3	0.0037089731591519854	0	100.000000	0	0.000000
367	3	0.00044820751963627195	0	100.000000	0	0.000000
368	4	0.022832682238002822	0	100.000000	0	0.000000
352	4	0.0739554858738765	0	100.000000	0	0.000000
2050	3	0.004037717952891856	0	100.000000	0	0.000000
2051	3	0.0040946525161708975	0	100.000000	0	0.000000
1434	4	0.0012759319744458319	0	100.000000	0	0.000000
1435	4	0.001017774256524775	0	100.000000	0	0.000000
1563	3	0.00838593763113536	0	100.000000	0	0.000000
1599	4	0.031046036990687052	0	100.000000	0	0.000000
